Ragione_Sociale,id,cciaa,nat_giuridica,anno_iscrizione_sezione_startup,anno_iscrizione_registro_imprese,anno_inizio_attivit,ateco_2007,settore,attivita,regione,sezione_attivita,classe_addetti,classe_valore_produzione,alto_valore_tecnologico,classe_capitale_sociale,spese_ricerca_sviluppo,prevalenza_femminile,prevalenza_giovanile,prevalenza_straniera,stato_impresa_label,classificazione,provincia,Macro_Area,Dipendenti_Sintetici,Fatturato_Sintetico,Utile_Sintetico,Prod_Firewall,Prod_Endpoint_Security,Prod_Cloud_Security,Prod_SOC_Gestito
Schiavo-Antonacci SPA,13524,TP,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,SICILIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,Non Disponibile,SI,Da 1 fino a 5mila euro,,NO,NO,NO,Attive,software_rd,TP,Sud_Isole,8.0,465736.59,-84890.09,1,1,0,0
"Borromini, Capone e Liguori s.r.l.",13525,FI,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",TOSCANA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,FI,Centro,4.0,344971.82,-45329.45,0,0,1,0
Guarato SPA,13526,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,18.0,1035657.87,-12054.41,1,1,1,0
Lerner-Gualtieri e figli,13527,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2020,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 10 a 50mila euro,,NO,Esclusiva,NO,Attive,software_informatica,MI,Nord,13.0,771588.04,37550.15,1,0,0,0
Vecoli-Castelli Group,13528,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,3.0,184884.89,-10873.64,0,0,1,0
Bassi-Germano SPA,13529,CT,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2020,2020.0,829999,SERVIZI,N 82 ATTIVITA' DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERV,SICILIA,"N NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRE...",Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,servizi_non_finanziari,CT,Sud_Isole,3.0,261741.14,-7748.64,0,0,0,0
"Crespi, Silvestri e Luxardo s.r.l.",13530,BZ,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,TRENTINO-ALTO ADIGE,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,Non Disponibile,SI,Da 250 a 500mila euro,SI,NO,NO,NO,Attive,software_rd,BZ,Nord,4.0,437939.87,34163.14,1,0,1,0
"Interminelli, Golino e Romagnoli Group",13531,MC,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",MARCHE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 1 fino a 5mila euro,SI,NO,Esclusiva,NO,Attive,software_informatica,MC,Centro,10.0,966997.14,-99737.68,1,0,0,0
Ruffini-Pirandello Group,13532,CN,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,PIEMONTE,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,Non Disponibile,SI,Da 1 fino a 5mila euro,SI,NO,Forte,NO,Attive,software_rd,CN,Nord,3.0,283160.25,712.12,0,0,1,0
Casaleggio SPA,13533,TS,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",FRIULI-VENEZIA GIULIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 1 fino a 5mila euro,SI,NO,Forte,Forte,Attive,software_informatica,TS,Nord,6.0,413808.58,9630.15,0,0,1,0
Toldo-Scaduto SPA,13534,TE,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,ABRUZZO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,100.001 - 500.000 euro,SI,Da 500 a 1mln euro,SI,NO,NO,NO,Attive,software_rd,TE,Sud_Isole,5.0,410484.61,22668.51,0,0,1,0
"Toscanini, Adinolfi e Scarfoglio s.r.l.",13535,CL,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",SICILIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,software_informatica,CL,Sud_Isole,12.0,1208339.1,-201613.48,1,1,0,0
Toso s.r.l.,13536,PG,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,2020,2020,2020.0,13962,INDUSTRIA/ARTIGIANATO,C 13 INDUSTRIE TESSILI,UMBRIA,C ATTIVITA' MANIFATTURIERE,Non Disponibile,Non Disponibile,NO,Da 1 fino a 5mila euro,,Maggioritaria,NO,NO,Attive,industria,PG,Centro,5.0,598489.35,-115031.48,0,1,0,0
"Grasso, Surian e Magnani Group",13537,GE,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,221909,INDUSTRIA/ARTIGIANATO,C 22 FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE,LIGURIA,C ATTIVITA' MANIFATTURIERE,Non Disponibile,Non Disponibile,NO,Da 1 fino a 5mila euro,,NO,NO,Esclusiva,Attive,industria,GE,Nord,5.0,641781.43,77258.79,0,0,1,1
Foscari-Procacci SPA,13538,AQ,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,2021,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",ABRUZZO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,0-100.000 euro,NO,Da 1 fino a 5mila euro,,NO,NO,NO,Attive,software_informatica,AQ,Sud_Isole,2.0,177100.78,-26921.14,0,0,0,0
Gasperi-Goldstein Group,13539,BS,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,BS,Nord,2.0,133025.7,-617.6,0,0,1,0
Lancisi Group,13540,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,,NO,Esclusiva,NO,Attive,software_informatica,RM,Centro,5.0,317540.08,37666.79,0,0,0,0
Faggiani SPA,13541,PR,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,620909,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",EMILIA-ROMAGNA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,PR,Nord,4.0,432044.42,55043.0,1,1,1,0
Armellini e figli,13542,BO,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",EMILIA-ROMAGNA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,Esclusiva,NO,Attive,software_informatica,BO,Nord,1.0,89713.53,7927.36,0,0,0,0
"Gulotta, Stein e Palazzo SPA",13543,PA,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,SICILIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,Non Disponibile,SI,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_rd,PA,Sud_Isole,49.0,3573816.55,-489903.61,0,0,1,0
Carosone-Cheda SPA,13544,RO,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,74101,SERVIZI,"M 74 ALTRE ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",VENETO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,Non Disponibile,NO,Da 1 fino a 5mila euro,SI,NO,Esclusiva,NO,Attive,servizi_non_finanziari,RO,Nord,26.0,2825584.42,119414.84,1,0,1,0
Argentero e figli,13545,BA,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2019,2019.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,PUGLIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,0-100.000 euro,SI,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,software_rd,BA,Sud_Isole,3.0,159804.69,21660.61,1,1,1,0
Bramante-Rienzo s.r.l.,13546,TN,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",TRENTINO-ALTO ADIGE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 50 a 100mila euro,,NO,NO,NO,Attive,software_informatica,TN,Nord,4.0,416289.77,-4701.2,0,0,1,0
Simeoni s.r.l.,13547,AV,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,CAMPANIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,Non Disponibile,SI,Da 1 fino a 5mila euro,,Forte,NO,NO,Attive,software_rd,AV,Sud_Isole,34.0,2018632.99,-349793.75,1,0,1,0
"Corbo, Bacosi e Bettin Group",13548,MT,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2018,2018.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",BASILICATA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,MT,Sud_Isole,12.0,794723.88,37970.86,1,1,1,0
Surian-Aporti SPA,13549,PN,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",FRIULI-VENEZIA GIULIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 1 fino a 5mila euro,SI,NO,Esclusiva,Esclusiva,Attive,software_informatica,PN,Nord,2.0,186678.74,-24676.43,0,0,0,0
Roncalli-Dalla SPA,13551,PS,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,5829,SERVIZI,J 58 ATTIVITA' EDITORIALI,MARCHE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,servizi_non_finanziari,PU,Centro,5.0,533322.5,-7582.1,0,1,0,0
Zecchini s.r.l.,13552,PG,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,UMBRIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,Non Disponibile,SI,Da 5 a 10mila euro,SI,Forte,NO,NO,Attive,software_rd,PG,Centro,32.0,3561182.89,-112352.69,1,0,0,0
Morandini s.r.l.,13553,PG,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,UMBRIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,Non Disponibile,SI,Da 100 a 250mila euro,SI,NO,NO,NO,Attive,software_rd,PG,Centro,26.0,2359752.04,-260254.94,0,1,0,0
Eco s.r.l.,13554,FI,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,TOSCANA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,Esclusiva,NO,NO,Attive,software_informatica,FI,Centro,4.0,305043.59,-31829.92,0,0,1,0
Sobrero SPA,13555,FO,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,10711,INDUSTRIA/ARTIGIANATO,C 10 INDUSTRIE ALIMENTARI,EMILIA-ROMAGNA,C ATTIVITA' MANIFATTURIERE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,industria,FC,Nord,10.0,1110630.33,77934.94,0,0,0,0
Vergerio-Lattuada SPA,13557,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,Forte,NO,Attive,software_informatica,RM,Centro,5.0,527960.89,57728.04,1,1,1,0
Cadorna-Lanfranchi s.r.l.,13558,EN,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",SICILIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,0-100.000 euro,NO,Da 10 a 50mila euro,SI,Forte,NO,NO,Attive,software_informatica,EN,Sud_Isole,4.0,437488.72,-2618.11,1,1,1,0
Luna-Ravaglioli e figli,13559,TN,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,108909,INDUSTRIA/ARTIGIANATO,C 10 INDUSTRIE ALIMENTARI,TRENTINO-ALTO ADIGE,C ATTIVITA' MANIFATTURIERE,Non Disponibile,Non Disponibile,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,industria,TN,Nord,4.0,447386.93,-75368.82,0,1,0,0
Toscanini-Bacosi s.r.l.,13560,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2020,2017.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,LOMBARDIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,0-100.000 euro,SI,Da 10 a 50mila euro,SI,Maggioritaria,NO,NO,Attive,software_rd,MI,Nord,1.0,99688.49,-13277.84,1,1,1,0
Verdone-Pincherle e figli,13561,PZ,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,631111,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,BASILICATA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 250 a 500mila euro,SI,Forte,NO,NO,Attive,software_informatica,PZ,Sud_Isole,7.0,657678.38,16847.02,0,0,1,0
Durante-Brambilla Group,13562,PG,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,325012,INDUSTRIA/ARTIGIANATO,C 32 ALTRE INDUSTRIE MANIFATTURIERE,UMBRIA,C ATTIVITA' MANIFATTURIERE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,industria,PG,Centro,11.0,1302417.96,-188752.34,1,0,0,1
Saraceno-Badoer s.r.l.,13563,AQ,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,289999,INDUSTRIA/ARTIGIANATO,C 28 FABBRICAZIONE DI MACCHINARI ED APPARECCHIATURE NCA,ABRUZZO,C ATTIVITA' MANIFATTURIERE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,industria,AQ,Sud_Isole,4.0,297976.62,-46934.58,1,1,1,0
Franscini e figli,13564,TN,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,222909,INDUSTRIA/ARTIGIANATO,C 22 FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE,TRENTINO-ALTO ADIGE,C ATTIVITA' MANIFATTURIERE,Non Disponibile,Non Disponibile,NO,Da 10 a 50mila euro,,Forte,NO,NO,Attive,industria,TN,Nord,3.0,336496.45,-34021.92,0,1,0,0
Campise s.r.l.,13565,PG,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,UMBRIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,Non Disponibile,SI,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_rd,PG,Centro,9.0,648556.67,87983.49,0,1,0,0
Udinese-Antonetti SPA,13566,VA,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2020,2020.0,2751,INDUSTRIA/ARTIGIANATO,C 27 FABBRICAZIONE DI APPARECCHIATURE ELETTRICHE ED APPARECCHIATU,LOMBARDIA,C ATTIVITA' MANIFATTURIERE,Non Disponibile,Non Disponibile,NO,Da 1 fino a 5mila euro,SI,NO,Esclusiva,NO,Attive,industria,VA,Nord,4.0,408101.87,7122.47,0,0,0,0
"Pistoletto, Barillaro e Ginesio e figli",13567,GE,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,620909,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LIGURIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 50 a 100mila euro,SI,NO,Forte,NO,Attive,software_informatica,GE,Nord,2.0,153108.78,-12023.4,0,0,0,0
"Pavarotti, Galtarossa e Spadafora SPA",13568,RN,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",EMILIA-ROMAGNA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,Esclusiva,Esclusiva,Attive,software_informatica,RN,Nord,1.0,70787.05,7815.58,0,0,0,0
"Baresi, Tamborini e Pavanello s.r.l.",13569,RC,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,702209,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,CALABRIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,Esclusiva,NO,Attive,servizi_non_finanziari,RC,Sud_Isole,34.0,3377238.82,-290627.16,0,0,0,0
Esposito s.r.l.,13570,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,LAZIO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,Non Disponibile,SI,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_rd,RM,Centro,5.0,502178.23,33709.59,0,0,0,0
Andreotti e figli,13571,PD,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 10 a 50mila euro,SI,NO,Esclusiva,NO,Attive,software_informatica,PD,Nord,5.0,319328.18,25292.64,0,0,0,0
Cainero-Barese Group,13572,TN,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,16232,INDUSTRIA/ARTIGIANATO,C 16 INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO (ESCLU,TRENTINO-ALTO ADIGE,C ATTIVITA' MANIFATTURIERE,Non Disponibile,Non Disponibile,NO,Da 10 a 50mila euro,SI,NO,Esclusiva,NO,Attive,industria,TN,Nord,3.0,329722.97,41311.28,0,0,0,0
Luna s.r.l.,13573,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2018,2018.0,631119,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 10 a 50mila euro,,NO,NO,NO,Attive,software_informatica,VR,Nord,11.0,707046.41,-63701.41,1,0,0,0
Bulzoni-Bartoli e figli,13574,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,5829,SERVIZI,J 58 ATTIVITA' EDITORIALI,LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,servizi_non_finanziari,MI,Nord,6.0,760511.11,89275.93,1,1,0,0
Gramsci-Brancaccio e figli,13575,PD,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2020.0,15201,INDUSTRIA/ARTIGIANATO,C 15 FABBRICAZIONE DI ARTICOLI IN PELLE E SIMILI,VENETO,C ATTIVITA' MANIFATTURIERE,Non Disponibile,Non Disponibile,NO,Da 100 a 250mila euro,SI,NO,NO,NO,Attive,industria,PD,Nord,3.0,206632.79,4308.67,0,0,0,0
Dulbecco Group,13576,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 10 a 50mila euro,,NO,NO,NO,Attive,software_informatica,VR,Nord,8.0,568687.8,-93393.48,0,0,0,0
"Polizzi, Foscari e Cagnin s.r.l.",13577,BA,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,PUGLIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,0-100.000 euro,SI,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_rd,BA,Sud_Isole,3.0,199223.98,25732.61,0,0,0,0
Tasso-Lancisi e figli,13578,BA,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,2365,INDUSTRIA/ARTIGIANATO,C 23 FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERAL,PUGLIA,C ATTIVITA' MANIFATTURIERE,Non Disponibile,0-100.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,industria,BA,Sud_Isole,7.0,484198.2,-47155.32,0,0,0,0
Curci-Travia s.r.l.,13580,CO,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,Esclusiva,NO,Attive,software_informatica,CO,Nord,1.0,89738.85,9097.25,0,0,1,0
"Borrani, Jacuzzi e Romano Group",13582,PG,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2020.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,UMBRIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,Non Disponibile,SI,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_rd,PG,Centro,2.0,135363.6,-12285.76,1,1,0,0
Nibali Group,13583,FR,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,LAZIO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,Non Disponibile,SI,Da 50 a 100mila euro,,NO,NO,NO,Attive,software_rd,FR,Centro,1.0,65557.97,7937.18,0,0,1,0
Pelli Group,13584,PE,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2019,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",ABRUZZO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,0-100.000 euro,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,PE,Sud_Isole,1.0,81603.68,985.96,0,1,1,0
"Canova, Luzi e Rosiello e figli",13585,LU,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2020.0,291,INDUSTRIA/ARTIGIANATO,"C 29 FABBRICAZIONE DI AUTOVEICOLI, RIMORCHI E SEMIRIMORCHI",TOSCANA,C ATTIVITA' MANIFATTURIERE,Non Disponibile,Non Disponibile,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,industria,LU,Centro,1.0,97849.44,-1456.41,0,0,0,0
